Redewendung	sort_order	id	re1	re2	n_cum_1	n_seq_1	n_ic_cum_1	n_ic_seq_1	n_cum_2	n_seq_2	n_ic_cum_2	n_ic_seq_2	n_manual	n_manual_cmt	n_final	link
Schluss machen	2094	2094	Schluss + MACHEN		194	3567 -> 194	208	3612 -> 208							194	https://de.wiktionary.org/wiki/Schluss_machen
Schluss mit lustig	2095	2095	Schluss mit lustig		11	11	13	13							11	https://de.wiktionary.org/wiki/Schluss_mit_lustig
Schlösser in die Luft bauen	2096	2096	Schlösser in die Luft + BAUEN		0	0 -> 0	0	0 -> 0							0	https://de.wiktionary.org/wiki/Schl%C3%B6sser_in_die_Luft_bauen
Schmetterlinge im Bauch haben	2097	2097	Schmetterlinge im Bauch + HABEN		5	12 -> 5	5	12 -> 5							5	https://de.wiktionary.org/wiki/Schmetterlinge_im_Bauch_haben
Schmiere stehen	2098	2098	Schmiere + STEHEN		14	20 -> 14	16	21 -> 16							14	https://de.wiktionary.org/wiki/Schmiere_stehen
Schmonzes mit Lakritzen	2099	2099	Schmonzes mit Lakritzen		0	0	0	0							0	https://de.wiktionary.org/wiki/Schmonzes_mit_Lakritzen
schmutzige Wäsche waschen	2100	2100	schmutzige + Wäsche		2	80 -> 2	2	80 -> 2							2	https://de.wiktionary.org/wiki/schmutzige_W%C3%A4sche_waschen
Schnecken	2101	2101	Schnecken + MANUAL_REVIEW		130	130 -> 130	131	131 -> 131					0	Hits are just for the animal ('snail(s)') or snail-shaped things, like staircases. Perhaps a regex of 'Schnecken,' would have been better.	0	https://de.wiktionary.org/wiki/Schnecken
Schnee von gestern	2102	2102	Schnee von gestern		11	11	12	12							11	https://de.wiktionary.org/wiki/Schnee_von_gestern
schreien wie am Spieß	2103	2103	wie am Spieß		1	1	1	1							1	https://de.wiktionary.org/wiki/schreien_wie_am_Spie%C3%9F
Schritt für Schritt	2104	2104	Schritt für Schritt		242	242	242	242							242	https://de.wiktionary.org/wiki/Schritt_f%C3%BCr_Schritt
Schrödingers Arschloch	2105	2105	Schrödingers Arschloch		0	0	0	0							0	https://de.wiktionary.org/wiki/Schr%C3%B6dingers_Arschloch
Schulter an Schulter	2106	2106	Schulter an Schulter		18	18	18	18							18	https://de.wiktionary.org/wiki/Schulter_an_Schulter
Schwamm drüber	2107	2107	Schwamm drüber		6	6	6	6							6	https://de.wiktionary.org/wiki/Schwamm_dr%C3%BCber
schwarz auf weiß	2108	2108	schwarz auf weiß		23	23	32	32							23	https://de.wiktionary.org/wiki/schwarz_auf_wei%C3%9F
schwarze Zahlen schreiben	2109	2109	schwarze Zahlen + SCHREIBEN		62	86 -> 62	62	86 -> 62							62	https://de.wiktionary.org/wiki/schwarze_Zahlen_schreiben
Schwein haben	2110	2110	Schwein + HABEN + MANUAL_REVIEW		32	191 -> 32 -> 32	32	191 -> 32 -> 32							32	https://de.wiktionary.org/wiki/Schwein_haben
schweren Herzens	2111	2111	schweren Herzens		74	74	74	74							74	https://de.wiktionary.org/wiki/schweren_Herzens
schweres Geschütz auffahren	2112	2112	\b[Ss]chwere[smn]? Geschütz + \bauf(\b|f|z|g) + _FAHREN		8	34 -> 13 -> 8	8	34 -> 13 -> 8							8	https://de.wiktionary.org/wiki/schweres_Gesch%C3%BCtz_auffahren
Seemannsgarn spinnen	2113	2113	Seemannsgarn + spinn		0	8 -> 0	0	8 -> 0							0	https://de.wiktionary.org/wiki/Seemannsgarn_spinnen
sehenden Auges	2114	2114	sehenden Auges		22	22	22	22							22	https://de.wiktionary.org/wiki/sehenden_Auges
sein blaues Wunder erleben	2115	2115	\b[Bb]laue[smn]? Wunder + \berleb		6	18 -> 6	6	18 -> 6							6	https://de.wiktionary.org/wiki/sein_blaues_Wunder_erleben
sein Damaskus erleben	2116	2116	SEINNA Damaskus + \berleb		0	0 -> 0	0	0 -> 0							0	https://de.wiktionary.org/wiki/sein_Damaskus_erleben
sein Dasein fristen	2117	2117	Dasein + frist		29	171 -> 29	29	173 -> 29							29	https://de.wiktionary.org/wiki/sein_Dasein_fristen
sein greises Haupt schütteln	2118	2118	SEINNA greises Haupt + schütt[el]		0	0 -> 0	0	0 -> 0							0	https://de.wiktionary.org/wiki/sein_greises_Haupt_sch%C3%BCtteln
sein Herz auf den Lippen tragen	2119	2119	SEINNA Herz + auf den Lippen + TRAGEN		0	385 -> 0 -> 0	0	387 -> 0 -> 0							0	https://de.wiktionary.org/wiki/sein_Herz_auf_den_Lippen_tragen
sein Herz auf der Zunge tragen	2120	2120	SEINNA Herz + auf der Zunge + TRAGEN		5	385 -> 6 -> 5	5	387 -> 6 -> 5							5	https://de.wiktionary.org/wiki/sein_Herz_auf_der_Zunge_tragen
sein Ithaka finden	2121	2121	SEINNA Ithaka + FINDEN		0	0 -> 0	0	0 -> 0							0	https://de.wiktionary.org/wiki/sein_Ithaka_finden
sein Leben lassen	2122	2122	SEINNA Leben + LASSEN		94	2306 -> 94	95	2322 -> 95							94	https://de.wiktionary.org/wiki/sein_Leben_lassen
sein Leben selbst in die Hand nehmen	2123	2123	sein Leben + selbst + in die Hand + NEHMEN		2	859 -> 20 -> 2 -> 2	2	862 -> 20 -> 2 -> 2							2	https://de.wiktionary.org/wiki/sein_Leben_selbst_in_die_Hand_nehmen
sein Mäntelchen nach dem Wind hängen	2124	2124	SEINNA Mäntelchen + nach dem Wind + häng		0	0 -> 0 -> 0	0	0 -> 0 -> 0							0	https://de.wiktionary.org/wiki/sein_M%C3%A4ntelchen_nach_dem_Wind_h%C3%A4ngen
sein Scherflein beitragen	2125	2125	SEINNA Scherflein + \bbei(\b|t|z|g) + _TRAGEN		0	1 -> 1 -> 0	0	1 -> 1 -> 0							0	https://de.wiktionary.org/wiki/sein_Scherflein_beitragen
sein Schäfchen ins Trockene bringen	2126	2126	sein Schäfchen ins Trockene + BRINGEN		0	0 -> 0	0	0 -> 0							0	https://de.wiktionary.org/wiki/sein_Sch%C3%A4fchen_ins_Trockene_bringen
sein Wasser abschlagen	2127	2127	sein Wasser + \bab(\b|s|z|g) + _SCHLAGEN		0	21 -> 0 -> 0	0	21 -> 0 -> 0							0	https://de.wiktionary.org/wiki/sein_Wasser_abschlagen
seine Felle wegschwimmen sehen	2128	2128	SEINPA Felle wegschwimmen + SEHEN		0	0 -> 0	0	0 -> 0							0	https://de.wiktionary.org/wiki/seine_Felle_wegschwimmen_sehen
seine Füße finden	2129	2129	SEINFA Füße + FINDEN		1	84 -> 1	1	84 -> 1							1	https://de.wiktionary.org/wiki/seine_F%C3%BC%C3%9Fe_finden
seine Haut so teuer wie möglich verkaufen	2130	2130	SEINFA Haut so teuer wie möglich + verkauf		0	0 -> 0	0	0 -> 0							0	https://de.wiktionary.org/wiki/seine_Haut_so_teuer_wie_m%C3%B6glich_verkaufen
seine Klappe halten	2131	2131	SEINFA Klappe + HALTEN		4	4 -> 4	4	4 -> 4							4	https://de.wiktionary.org/wiki/seine_Klappe_halten
seine Notdurft verrichten	2132	2132	Notdurft + verricht		18	22 -> 18	19	22 -> 19							18	https://de.wiktionary.org/wiki/seine_Notdurft_verrichten
seine Pappenheimer kennen	2133	2133	seine Pappenheimer		1	1	1	1							1	https://de.wiktionary.org/wiki/seine_Pappenheimer_kennen
seine Schäfchen im Trockenen haben	2134	2134	Schäfchen + im Trockenen + HABEN		1	27 -> 2 -> 1	1	27 -> 2 -> 1							1	https://de.wiktionary.org/wiki/seine_Sch%C3%A4fchen_im_Trockenen_haben
seine Schäfchen ins Trockene bringen	2135	2135	seine Schäfchen ins Trockene + BRINGEN		0	0 -> 0	0	0 -> 0							0	https://de.wiktionary.org/wiki/seine_Sch%C3%A4fchen_ins_Trockene_bringen
seine Schäflein im Trockenen haben	2136	2136	SEINFA Schäflein + im Trockenen + HABEN		0	0 -> 0 -> 0	0	0 -> 0 -> 0							0	https://de.wiktionary.org/wiki/seine_Sch%C3%A4flein_im_Trockenen_haben
seine Schäflein ins Trockene bringen	2137	2137	seine Schäflein ins Trockene + BRINGEN		0	0 -> 0	0	0 -> 0							0	https://de.wiktionary.org/wiki/seine_Sch%C3%A4flein_ins_Trockene_bringen
seine Siebensachen packen	2138	2138	SEINPA Siebensachen + pack		1	2 -> 1	1	2 -> 1							1	https://de.wiktionary.org/wiki/seine_Siebensachen_packen
seine Zelte abbrechen	2139	2139	SEINPA Zelte + \bab(\b|b|z|g) + _BRECHEN		10	41 -> 11 -> 10	10	41 -> 11 -> 10							10	https://de.wiktionary.org/wiki/seine_Zelte_abbrechen
seinem Herzen Luft machen	2140	2140	SEINMND Herzen + Luft + MACHEN		0	0 -> 0 -> 0	0	0 -> 0 -> 0							0	https://de.wiktionary.org/wiki/seinem_Herzen_Luft_machen
seinem Ärger Luft machen	2141	2141	(seinem|ihrem|unserem|meinem) Ärger + Luft + MACHEN		56	74 -> 60 -> 56	60	77 -> 63 -> 60							56	https://de.wiktionary.org/wiki/seinem_%C3%84rger_Luft_machen
seinen Arsch verwetten	2142	2142	SEINMA Arsch + verwetten		0	7 -> 0	0	7 -> 0							0	https://de.wiktionary.org/wiki/seinen_Arsch_verwetten
seinen Augen nicht trauen	2143	2143	SEINPD Augen nicht + trau		40	53 -> 40	41	53 -> 41							40	https://de.wiktionary.org/wiki/seinen_Augen_nicht_trauen
seinen Beitrag leisten	2144	2144	SEINMA Beitrag + leiste		117	222 -> 117	118	222 -> 118							117	https://de.wiktionary.org/wiki/seinen_Beitrag_leisten
seinen Dreh nicht kriegen	2145	2145	SEINMA Dreh + nicht + KRIEGEN		0	0 -> 0 -> 0	0	0 -> 0 -> 0							0	https://de.wiktionary.org/wiki/seinen_Dreh_nicht_kriegen
seinen Frieden mit etwas machen	2146	2146	SEINMA Frieden mit + MACHEN		11	13 -> 11	12	14 -> 12							11	https://de.wiktionary.org/wiki/seinen_Frieden_mit_etwas_machen
seinen Geist aufgeben	2147	2147	SEINMA Geist \bauf(\b|z|g) + _GEBEN		6	8 -> 6	6	8 -> 6							6	https://de.wiktionary.org/wiki/seinen_Geist_aufgeben
seinen Geist aushauchen	2148	2148	SEINMA Geist + \baus + hauch		0	34 -> 2 -> 0	0	34 -> 3 -> 0							0	https://de.wiktionary.org/wiki/seinen_Geist_aushauchen
seinen Hut nehmen	2149	2149	SEINMA Hut + NEHMEN	den Hut + NEHMEN	37	88 -> 37	37	88 -> 37	21	86 -> 21	21	86 -> 21			37	https://de.wiktionary.org/wiki/seinen_Hut_nehmen
seinen Jürgen würgen	2150	2150	SEINMA Jürgen + würg		0	0 -> 0	0	0 -> 0							0	https://de.wiktionary.org/wiki/seinen_J%C3%BCrgen_w%C3%BCrgen
seinen Lauf nehmen	2151	2151	seinen Lauf + NEHMEN		104	122 -> 104	105	122 -> 105							104	https://de.wiktionary.org/wiki/seinen_Lauf_nehmen
seinen Mann stehen	2152	2152	SEINMA Mann + STEHEN		23	327 -> 23	24	327 -> 24							23	https://de.wiktionary.org/wiki/seinen_Mann_stehen
seinen Schnitt machen	2153	2153	SEINMA Schnitt + MACHEN		0	2 -> 0	0	2 -> 0							0	https://de.wiktionary.org/wiki/seinen_Schnitt_machen
seinen Segen zu etwas geben	2154	2154	SEINMA Segen zu + GEBEN		1	2 -> 1	1	2 -> 1							1	https://de.wiktionary.org/wiki/seinen_Segen_zu_etwas_geben
seinen Senf dazugeben	2155	2155	SEINMA Senf + \bdazu(\b|z|g) + _GEBEN		16	18 -> 16 -> 16	16	18 -> 16 -> 16							16	https://de.wiktionary.org/wiki/seinen_Senf_dazugeben
seinen Tag von Damaskus erleben	2156	2156	SEINMA Tag von Damaskus + \berleb		0	0 -> 0	0	0 -> 0							0	https://de.wiktionary.org/wiki/seinen_Tag_von_Damaskus_erleben
seines Zeichens	2157	2157	seines Zeichens		42	42	42	42							42	https://de.wiktionary.org/wiki/seines_Zeichens
selber essen macht fett	2158	2158	selber essen macht fett		0	0	0	0							0	https://de.wiktionary.org/wiki/selber_essen_macht_fett
seligen Angedenkens	2159	2159	seligen Angedenkens		0	0	0	0							0	https://de.wiktionary.org/wiki/seligen_Angedenkens
seltsame Blüten treiben	2160	2160	seltsame Blüten + TREIBEN		5	6 -> 5	5	6 -> 5							5	https://de.wiktionary.org/wiki/seltsame_Bl%C3%BCten_treiben
shit happens	2161	2161	shit happens		1	1	1	1							1	https://de.wiktionary.org/wiki/shit_happens
sich alle zehn Finger abschlecken können	2162	2162	alle zehn Finger + abschlecken + KÖNNEN + SICH		0	0 -> 0 -> 0 -> 0	0	0 -> 0 -> 0 -> 0							0	https://de.wiktionary.org/wiki/sich_alle_zehn_Finger_abschlecken_k%C3%B6nnen
sich am Riemen reißen	2163	2163	am Riemen + REIẞEN + SICH		2	4 -> 2 -> 2	2	4 -> 2 -> 2							2	https://de.wiktionary.org/wiki/sich_am_Riemen_rei%C3%9Fen
sich an die eigene Nase fassen	2164	2164	an die eigene Nase + fass + SICH		17	22 -> 19 -> 17	17	22 -> 19 -> 17							17	https://de.wiktionary.org/wiki/sich_an_die_eigene_Nase_fassen
sich an etwas die Zunge abbrechen	2165	2165	die Zunge + \bab(\b|b|z|g) + _BRECHEN + SICH		0	93 -> 3 -> 0 -> 0	0	93 -> 3 -> 0 -> 0							0	https://de.wiktionary.org/wiki/sich_an_etwas_die_Zunge_abbrechen
sich an etwas die Zähne ausbeißen	2166	2166	an + die Zähne + \baus(\b|b|z|g) + _BEIẞEN + SICH		35	455087 -> 60 -> 39 -> 35 -> 35	35	455226 -> 60 -> 39 -> 35 -> 35							35	https://de.wiktionary.org/wiki/sich_an_etwas_die_Z%C3%A4hne_ausbei%C3%9Fen
sich an etwas machen	2167	2167	an + MACHEN + SICH + MANUAL_REVIEW		1873	455087 -> 6549 -> 1873 -> 1873	2125	455226 -> 7822 -> 2125 -> 2125					112	3/50 * 1873	112	https://de.wiktionary.org/wiki/sich_an_etwas_machen
sich an jemandes Fersen heften	2168	2168	an + Fersen + heft + SICH		13	455087 -> 36 -> 13 -> 13	13	455226 -> 36 -> 13 -> 13							13	https://de.wiktionary.org/wiki/sich_an_jemandes_Fersen_heften
sich anheischig machen	2169	2169	anheischig + MACHEN + SICH		0	0 -> 0 -> 0	0	0 -> 0 -> 0							0	https://de.wiktionary.org/wiki/sich_anheischig_machen
sich Asche aufs Haupt streuen	2170	2170	Asche aufs Haupt + streu + SICH		2	2 -> 2 -> 2	2	2 -> 2 -> 2							2	https://de.wiktionary.org/wiki/sich_Asche_aufs_Haupt_streuen
sich auf den Hosenboden setzen	2171	2171	auf den Hosenbodne + SETZEN + SICH		0	0 -> 0 -> 0	0	0 -> 0 -> 0							0	https://de.wiktionary.org/wiki/sich_auf_den_Hosenboden_setzen
sich auf die faule Haut legen	2172	2172	auf die faule Haut + LEGEN + SICH		3	3 -> 3 -> 3	3	3 -> 3 -> 3							3	https://de.wiktionary.org/wiki/sich_auf_die_faule_Haut_legen
sich auf die Socken machen	2173	2173	auf die Socken + MACHEN + SICH		3	3 -> 3 -> 3	3	3 -> 3 -> 3							3	https://de.wiktionary.org/wiki/sich_auf_die_Socken_machen
sich auf die Zunge beißen	2174	2174	auf die Zunge + BEIẞEN + SICH		3	10 -> 3 -> 3	3	10 -> 3 -> 3							3	https://de.wiktionary.org/wiki/sich_auf_die_Zunge_bei%C3%9Fen
sich auf Französisch empfehlen	2175	2175	auf Französich + EMPFEHLEN + SICH		0	0 -> 0 -> 0	0	0 -> 0 -> 0							0	https://de.wiktionary.org/wiki/sich_auf_Franz%C3%B6sisch_empfehlen
sich auf Französisch verabschieden	2176	2176	auf Französisch + verabschied + SICH		0	96 -> 0 -> 0	0	102 -> 0 -> 0							0	https://de.wiktionary.org/wiki/sich_auf_Franz%C3%B6sisch_verabschieden
sich auf seine vier Buchstaben setzen	2177	2177	auf SEINPA vier Buchstaben + SETZEN + SICH		0	0 -> 0 -> 0	0	0 -> 0 -> 0							0	https://de.wiktionary.org/wiki/sich_auf_seine_vier_Buchstaben_setzen
sich auf seinen Lorbeeren ausruhen	2178	2178	auf SEINMA Lorbeeren + \baus(\b|r|z|g) + AUSRUHEN + SICH		5	5 -> 5 -> 5 -> 5	5	5 -> 5 -> 5 -> 5							5	https://de.wiktionary.org/wiki/sich_auf_seinen_Lorbeeren_ausruhen
sich aufs Ohr hauen	2179	2179	aufs Ohr + HAUEN + SICH		1	3 -> 1 -> 1	1	3 -> 1 -> 1							1	https://de.wiktionary.org/wiki/sich_aufs_Ohr_hauen
sich aufs Ohr legen	2180	2180	aufs Ohr + LEGEN + SICH		1	3 -> 1 -> 1	1	3 -> 1 -> 1							1	https://de.wiktionary.org/wiki/sich_aufs_Ohr_legen
sich aus dem Fenster lehnen	2181	2181	aus dem Fenster + lehn + SICH		28	281 -> 28 -> 28	28	281 -> 28 -> 28							28	https://de.wiktionary.org/wiki/sich_aus_dem_Fenster_lehnen
sich aus dem Staub machen	2182	2182	aus dem Staub + MACHEN + SICH		82	83 -> 82 -> 82	82	83 -> 82 -> 82							82	https://de.wiktionary.org/wiki/sich_aus_dem_Staub_machen
sich aus dem Staube machen	2183	2183	aus dem Staube + MACHEN + SICH		1	2 -> 1 -> 1	1	2 -> 1 -> 1							1	https://de.wiktionary.org/wiki/sich_aus_dem_Staube_machen
sich aus der Klemme ziehen	2184	2184	aus der Klemme + ZIEHEN + SICH		0	4 -> 0 -> 0	0	4 -> 0 -> 0							0	https://de.wiktionary.org/wiki/sich_aus_der_Klemme_ziehen
sich ausschütten vor Lachen	2185	2185	vor Lachen + \baus(\b|s|z|g) + schütte + SICH		1	31 -> 2 -> 1 -> 1	1	34 -> 2 -> 1 -> 1							1	https://de.wiktionary.org/wiki/sich_aussch%C3%BCtten_vor_Lachen
sich bei jemandem sehen lassen	2186	2186	bei + sehen + LASSEN + SICH		31	310731 -> 1563 -> 43 -> 31	33	310741 -> 1563 -> 45 -> 33							31	https://de.wiktionary.org/wiki/sich_bei_jemandem_sehen_lassen
sich benehmen wie die Axt im Walde	2187	2187	wie + Axt + im Walde + BENEHMEN + SICH		1	144377 -> 7 -> 2 -> 1 -> 1	1	144401 -> 7 -> 2 -> 1 -> 1							1	https://de.wiktionary.org/wiki/sich_benehmen_wie_die_Axt_im_Walde
sich bis auf die Knochen blamieren	2188	2188	bis auf die Knochen + blamier + SICH		7	17 -> 9 -> 7	8	17 -> 10 -> 8							7	https://de.wiktionary.org/wiki/sich_bis_auf_die_Knochen_blamieren
sich blind verstehen	2189	2189	blind + VERSTEHEN + SICH		2	419 -> 3 -> 2	2	420 -> 4 -> 2							2	https://de.wiktionary.org/wiki/sich_blind_verstehen
sich das Leben nehmen	2190	2190	das Leben + NEHMEN + SICH		255	3541 -> 282 -> 255	257	3547 -> 287 -> 257							255	https://de.wiktionary.org/wiki/sich_das_Leben_nehmen
sich das Wasser abschlagen	2191	2191	das Wasser + \bab(\b|s|z|g) + _SCHLAGEN + SICH		0	1489 -> 144 -> 1 -> 0	0	1490 -> 159 -> 1 -> 0							0	https://de.wiktionary.org/wiki/sich_das_Wasser_abschlagen
sich den Arsch aufreißen	2192	2192	den Arsch + \bauf(\b|r|z|g) + _REIẞEN + SICH		4	23 -> 8 -> 4 -> 4	4	24 -> 8 -> 4 -> 4							4	https://de.wiktionary.org/wiki/sich_den_Arsch_aufrei%C3%9Fen
sich den Bauch vollschlagen	2193	2193	den Bauch + \bvoll(\b|s|z|g) + _SCHLAGEN + SICH		3	125 -> 4 -> 3 -> 3	3	125 -> 4 -> 3 -> 3							3	https://de.wiktionary.org/wiki/sich_den_Bauch_vollschlagen
sich den Hals abdrehen	2194	2194	den Hals + \bab(\b|d|z|g) + dreh + SICH		0	264 -> 9 -> 1 -> 0	0	264 -> 9 -> 1 -> 0							0	https://de.wiktionary.org/wiki/sich_den_Hals_abdrehen
sich den Kopf zerbrechen	2195	2195	den Kopf + ZERBRECHEN + SICH		31	1655 -> 33 -> 31	33	1659 -> 35 -> 33							31	https://de.wiktionary.org/wiki/sich_den_Kopf_zerbrechen
sich den Mund fusselig reden	2196	2196	den Mund fusselig + REDEN + SICH		2	3 -> 2 -> 2	2	3 -> 2 -> 2							2	https://de.wiktionary.org/wiki/sich_den_Mund_fusselig_reden
sich den Schneid abkaufen lassen	2197	2197	den Schneid + abkaufen + LASSEN + SICH		5	14 -> 6 -> 5 -> 5	5	14 -> 6 -> 5 -> 5							5	https://de.wiktionary.org/wiki/sich_den_Schneid_abkaufen_lassen
sich den Schuh nicht anziehen	2198	2198	den Schuch + nicht + \ban(\b|z|z|g) + _ZIEHEN + SICH		0	0 -> 0 -> 0 -> 0 -> 0	0	0 -> 0 -> 0 -> 0 -> 0							0	https://de.wiktionary.org/wiki/sich_den_Schuh_nicht_anziehen
sich den Wolf laufen	2199	2199	den Wolf + LAUFEN + SICH		0	65 -> 0 -> 0	0	65 -> 0 -> 0							0	https://de.wiktionary.org/wiki/sich_den_Wolf_laufen
sich die Augen ausweinen	2200	2200	die Augen + \baus(\b|w|z|g) + wein + SICH		4	1040 -> 53 -> 4 -> 4	4	1041 -> 53 -> 4 -> 4							4	https://de.wiktionary.org/wiki/sich_die_Augen_ausweinen
sich die Beine in den Bauch stehen	2201	2201	die Beine in den Bauch + SICH		2	2 -> 2	2	2 -> 2							2	https://de.wiktionary.org/wiki/sich_die_Beine_in_den_Bauch_stehen
sich die Beine in den Leib stehen	2202	2202	die Beine in den Leib + SICH		0	0 -> 0	0	0 -> 0							0	https://de.wiktionary.org/wiki/sich_die_Beine_in_den_Leib_stehen
sich die besten Rosinen herauspicken	2203	2203	die besten Rosinen + \bheraus(\b|p|z|g) + pick + SICH		0	0 -> 0 -> 0 -> 0	0	0 -> 0 -> 0 -> 0							0	https://de.wiktionary.org/wiki/sich_die_besten_Rosinen_herauspicken
sich die dicksten Rosinen herauspicken	2204	2204	die dicksten Rosinen + \bheraus(\b|p|z|g) + pick + SICH		0	0 -> 0 -> 0 -> 0	0	0 -> 0 -> 0 -> 0							0	https://de.wiktionary.org/wiki/sich_die_dicksten_Rosinen_herauspicken
sich die Eier schaukeln	2205	2205	die Eier + schauk[el] + SICH		0	273 -> 0 -> 0	0	273 -> 0 -> 0							0	https://de.wiktionary.org/wiki/sich_die_Eier_schaukeln
sich die Finger abarbeiten	2206	2206	die Finger + \bab(\b|a|z|g) + arbeite + SICH		0	251 -> 4 -> 0 -> 0	0	251 -> 7 -> 0 -> 0							0	https://de.wiktionary.org/wiki/sich_die_Finger_abarbeiten
sich die Finger schmutzig machen	2207	2207	die Finger + schmutzig + MACHEN + SICH		2	251 -> 2 -> 2 -> 2	2	251 -> 2 -> 2 -> 2							2	https://de.wiktionary.org/wiki/sich_die_Finger_schmutzig_machen
sich die größten Rosinen herauspicken	2208	2208	die größten Rosinen + \bheraus(\b|p|z|g) + pick + SICH		0	0 -> 0 -> 0 -> 0	0	0 -> 0 -> 0 -> 0							0	https://de.wiktionary.org/wiki/sich_die_gr%C3%B6%C3%9Ften_Rosinen_herauspicken
sich die Hand geben	2209	2209	die Hand + GEBEN + SICH		97	1252 -> 211 -> 97	100	1254 -> 221 -> 100							97	https://de.wiktionary.org/wiki/sich_die_Hand_geben
sich die Hörner abstoßen	2210	2210	die Hörner + \bab(\b|s|z|g) + _STOẞEN + SICH		2	36 -> 3 -> 2 -> 2	2	36 -> 3 -> 2 -> 2							2	https://de.wiktionary.org/wiki/sich_die_H%C3%B6rner_absto%C3%9Fen
sich die Kante geben	2211	2211	die Kante + GEBEN + SICH		3	30 -> 7 -> 3	3	30 -> 9 -> 3							3	https://de.wiktionary.org/wiki/sich_die_Kante_geben
sich die Kehle anfeuchten	2212	2212	die Kehle + \ban(\b|f|z|g) + feucht + SICH		0	121 -> 18 -> 0 -> 0	0	121 -> 21 -> 0 -> 0							0	https://de.wiktionary.org/wiki/sich_die_Kehle_anfeuchten
sich die Klinke in die Hand geben	2213	2213	die Klinke in die Hand + GEBEN + SICH		28	32 -> 28 -> 28	28	32 -> 28 -> 28							28	https://de.wiktionary.org/wiki/sich_die_Klinke_in_die_Hand_geben
sich die Nacht um die Ohren schlagen	2214	2214	die Nacht um die Ohren + SCHLAGEN + SICH		1	1 -> 1 -> 1	1	1 -> 1 -> 1							1	https://de.wiktionary.org/wiki/sich_die_Nacht_um_die_Ohren_schlagen
sich die Nille verbrannt haben	2215	2215	die Nille verbrannt + HABEN + SICH		0	0 -> 0 -> 0	0	0 -> 0 -> 0							0	https://de.wiktionary.org/wiki/sich_die_Nille_verbrannt_haben
sich die Rosinen aus dem Kuchen picken	2216	2216	die Rosinen aus dem Kuchen + pick + SICH		0	0 -> 0 -> 0	0	0 -> 0 -> 0							0	https://de.wiktionary.org/wiki/sich_die_Rosinen_aus_dem_Kuchen_picken
sich die Rosinen herauspicken	2217	2217	die Rosinen + \bheraus(\b|p|z|g) + pick + SICH		2	11 -> 3 -> 3 -> 2	2	11 -> 3 -> 3 -> 2							2	https://de.wiktionary.org/wiki/sich_die_Rosinen_herauspicken
sich die Seele aus dem Leib weinen	2218	2218	die Seele aus dem Leib + wein + SICH		0	4 -> 0 -> 0	0	4 -> 0 -> 0							0	https://de.wiktionary.org/wiki/sich_die_Seele_aus_dem_Leib_weinen
sich durchs Leben schlagen	2219	2219	durchs Leben + SCHLAGEN + SICH		7	84 -> 7 -> 7	7	84 -> 7 -> 7							7	https://de.wiktionary.org/wiki/sich_durchs_Leben_schlagen
sich ein Bild von etwas machen	2220	2220	ein Bild + von + MACHEN + SICH		145	962 -> 374 -> 150 -> 145	151	966 -> 374 -> 157 -> 151							145	https://de.wiktionary.org/wiki/sich_ein_Bild_von_etwas_machen
sich ein Bild von jemandem machen	2221	2221	ein Bild + von + MACHEN + SICH		145	962 -> 374 -> 150 -> 145	151	966 -> 374 -> 157 -> 151							145	https://de.wiktionary.org/wiki/sich_ein_Bild_von_jemandem_machen
sich ein Ei legen	2222	2222	ein Ei + LEGEN + SICH		2	44 -> 10 -> 2	2	44 -> 10 -> 2							2	https://de.wiktionary.org/wiki/sich_ein_Ei_legen
sich ein Herz fassen	2223	2223	ein Herz + fass + SICH		28	168 -> 29 -> 28	28	169 -> 29 -> 28							28	https://de.wiktionary.org/wiki/sich_ein_Herz_fassen
sich ein Monogramm in den Hintern beißen	2224	2224	ein Monogramm + in den Hintern + BEIẞEN + SICH		0	1 -> 0 -> 0 -> 0	0	1 -> 0 -> 0 -> 0							0	https://de.wiktionary.org/wiki/sich_ein_Monogramm_in_den_Hintern_bei%C3%9Fen
sich eine goldene Nase verdienen	2225	2225	eine goldene Nase + verdien + SICH		11	12 -> 12 -> 11	11	12 -> 12 -> 11							11	https://de.wiktionary.org/wiki/sich_eine_goldene_Nase_verdienen
sich einen abasten	2226	2226	\bab(\b|a|z|g) + ABASTEN + SICH		0	102825 -> 3 -> 0	2	123863 -> 21 -> 2							0	https://de.wiktionary.org/wiki/sich_einen_abasten
sich einen abfrieren	2227	2227	einen + \bab(\b|f|z|g) + _FRIEREN + SICH + MANUAL_REVIEW		0	152725 -> 4992 -> 1 -> 0 -> 0	1	152734 -> 6027 -> 2 -> 1 -> 1							0	https://de.wiktionary.org/wiki/sich_einen_abfrieren
sich einen Ast lachen	2228	2228	einen Ast + lach + SICH		0	9 -> 0 -> 0	0	9 -> 0 -> 0							0	https://de.wiktionary.org/wiki/sich_einen_Ast_lachen
sich einen feuchten Kehricht für etwas interessieren	2229	2229	einen feuchten Kehricht + interessier + SICH		0	2 -> 0 -> 0	0	2 -> 0 -> 0							0	https://de.wiktionary.org/wiki/sich_einen_feuchten_Kehricht_f%C3%BCr_etwas_interessieren
