headword	n_manual_sampsize
erfroren sind schon viele, aber erstunken ist noch keiner	
erlaubt ist, was gefällt	
erste Sahne sein	
Erster von hinten	
erstunken und erlogen	
es darauf ankommen lassen	
es drauf ankommen lassen	
es faustdick hinter den Ohren haben	
es geht die Rede	
es geht um die Wurst	
es ist höchste Eisenbahn	
es ist um jemanden geschehen	all
es jemandem gleichtun	
es jemandem recht machen	
es juckt jemandem in den Fingern	
es koste, was es wolle	
es krachen lassen	
es kurz machen	
es mit jemandem treiben	all
es sich anders überlegen	
es zieht wie Hechtsuppe	
es zieht wie in einem Vogelhaus	
es zu bunt treiben	
es über sich gewinnen, etwas zu tun	
etwas am Kerbholz haben	
etwas an den Haaren herbeiziehen	
etwas an den Mann bringen	
etwas an den Nagel hängen	
etwas an den Tag legen	
etwas an die große Glocke hängen	
etwas an die Wand fahren	
etwas auf Abbruch verkaufen	
etwas auf dem Buckel haben	
etwas auf dem Kasten haben	
etwas auf dem Kerbholz haben	
etwas auf den Kopf stellen	
etwas auf der Pfanne haben	
etwas auf die hohe Kante legen	
etwas auf die lange Bank schieben	
etwas auf die leichte Schulter nehmen	
etwas auf die Sprünge helfen	
etwas auf Eis legen	
etwas auf Pump kaufen	
etwas auf seine Kappe nehmen	
etwas aufs Spiel setzen	
etwas aufsaugen wie ein Schwamm	
etwas aus dem Boden stampfen	
etwas aus dem Ärmel schütteln	
etwas aus den Angeln heben	
etwas aus der Taufe heben	
etwas aus der Welt schaffen	
etwas ausbaden müssen	
etwas ausgefressen haben	
etwas außer Dienst stellen	
etwas den letzten Schliff geben	
etwas die Spitze abbrechen	
etwas die Spitze nehmen	
etwas durch die rosarote Brille sehen	
etwas eine Abfuhr erteilen	
etwas für bare Münze nehmen	
etwas für einen Apfel und ein Ei kaufen	
etwas fürchten wie der Teufel das Weihwasser	
etwas gebacken kriegen	
etwas gegen die Wand fahren	
etwas geht jemandem am Arsch vorbei	
etwas Herr werden	50
etwas hängt einem zum Hals raus	
etwas im Auge haben	
etwas im Griff haben	
etwas im Keim ersticken	
etwas im Kopf haben	
etwas im Schilde führen	
etwas im Urin haben	
etwas im Urin spüren	
etwas in Abrede stellen	
etwas in Angriff nehmen	
etwas in Brand setzen	
etwas in Brand stecken	
etwas in den falschen Hals bekommen	
etwas in den Raum stellen	
etwas in den Sand setzen	
etwas in der Tasche haben	
etwas in die Hand nehmen	
etwas in die Wege leiten	
etwas in Gang bringen	
etwas in Gang setzen	
etwas in Grenzen halten	
etwas in Kauf nehmen	
etwas in petto haben	
etwas in Schuss halten	
etwas in Schutt und Asche legen	
etwas in vollen Zügen genießen	
etwas in- und auswendig kennen	
etwas ins Auge fassen	
etwas ins Leben rufen	
etwas ist so wichtig, wie wenn ein Sack Reis in China umfällt	
etwas ist zum Mäusemelken	
etwas keinen Abbruch tun	
etwas kommt jemandem spanisch vor	
etwas Lügen strafen	
etwas mit Argusaugen beobachten	
etwas mit der Muttermilch aufsaugen	
etwas mit der Muttermilch einsaugen	
etwas mit einem lachenden und einem weinenden Auge sehen	
etwas mit Kusshand nehmen	
etwas mitgehen lassen	
etwas nicht auf sich sitzen lassen	
etwas Revue passieren lassen	
etwas rund machen	100
etwas rückgängig machen	
etwas satt haben	
etwas sein Eigen nennen	
etwas unter Dach und Fach bringen	
etwas unter die Lupe nehmen	
etwas vom Stapel lassen	
etwas vom Zaun brechen	
etwas vor die Wand fahren	
etwas wörtlich nehmen	
etwas zu den Akten legen	
etwas zu Geld machen	
etwas zu hinterlistigen Zwecken verwenden	
etwas zu Tode hetzen	
etwas zu Tode reiten	
etwas zum Besten geben	
etwas zur Schau stellen	
etwas zur Seite legen	
etwas zur Sprache bringen	
etwas zur Strecke bringen	
etwas zwischen die Kiemen bekommen	
etwas zwischen die Kiemen kriegen	
etwas zwischen die Zähne bekommen	
etwas zwischen die Zähne kriegen	
etwas über den Haufen schmeißen	
etwas über den Haufen werfen	
etwas über die Bühne bringen	
etwas übers Knie brechen	
Eulen nach Athen tragen	
ewig und drei Tage	
Fahrt aufnehmen	
falsch wie Galgenholz	
falsche Schlange	
Farbe bekennen	
Fersengeld geben	
fest im Sattel sitzen	
Feuer fangen	
